video_url,comment
https://www.youtube.com/watch?v=yIPZQfbVnbg,Waa perjalanan yang panjang..Terima kasih sharingnya sahabat.
https://www.youtube.com/watch?v=yIPZQfbVnbg,Keren ya mamin bus nya dan harga nya juga mumer
https://www.youtube.com/watch?v=yIPZQfbVnbg,Alun-alun gresik ndak lewat yaa
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Mohon dibuka trayek baru Benowo - Bangil lewat Boboh, Domas, Kedamean, Krian, Prambon, Krembung, Porong, Gempol, Beji. Terima kasih."
https://www.youtube.com/watch?v=yIPZQfbVnbg,"keren bus trans jatim nya
terimakasih infonya kak "
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Mantap booooss, tetap semangat saudaraku "
https://www.youtube.com/watch?v=yIPZQfbVnbg,Waah kerren ya
https://www.youtube.com/watch?v=yIPZQfbVnbg,Busnya nyaman dan bersiiih. Kereeen
https://www.youtube.com/watch?v=yIPZQfbVnbg,Wah keren banget bus trans nya Kelihatannya nyaman sekali 
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Hanya 5000.. 
Bus nya nyentrik hijau "
https://www.youtube.com/watch?v=yIPZQfbVnbg,Wahh..asyiikknya .... 
https://www.youtube.com/watch?v=yIPZQfbVnbg,Tmbah keren coba tambah rute nganjuk sampai magetan
https://www.youtube.com/watch?v=yIPZQfbVnbg,bus trans sidoarjo sby...mantapp sobat
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bas nya sangat cantik kemas dan bersih
https://www.youtube.com/watch?v=yIPZQfbVnbg,Keren ya kak bus nya
https://www.youtube.com/watch?v=yIPZQfbVnbg,Mantap pasti seru
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bagus sekali busnya
https://www.youtube.com/watch?v=yIPZQfbVnbg,waj nyaman banget ya bus nya
https://www.youtube.com/watch?v=yIPZQfbVnbg,MashaAllah So nice sharing dear friend like done  please stay connected dear friend
https://www.youtube.com/watch?v=yIPZQfbVnbg,Trans Jatim kalau bisa di tambah.rute Tuban babat bunder Surabaya atau bjonegoro babat bunder SBY..
https://www.youtube.com/watch?v=yIPZQfbVnbg,Masya allah. Semoga aja untuk daerah madura ada juga bun. Kayaknya lumayan ngebantu banget yaa untuk para penumpang.
https://www.youtube.com/watch?v=yIPZQfbVnbg,L12...keren sekali busnya...
https://www.youtube.com/watch?v=yIPZQfbVnbg,"MasyaAllah busnya keren, "
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Wahh bus'y bagus ya mom, bisa smpe ke  Surabaya & gresik dgn ongkos 50rbu aja , nanti klw aku pulkam mau tak coba jg ah "
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bagus bngd kak bus nya 
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus nya keren bagus 
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Congratulations my friends for another exceptional work....  
At the end of the day, whether or not those people are comfortable with how you're living your life doesn't matter. 
What matters is whether you're comfortable with it."
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus trans Jatim bagusnya
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus trans Jatim bagus sekali mami kaya bus way
https://www.youtube.com/watch?v=yIPZQfbVnbg,pengen nyobak smp skg blm kesampean
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Keren busnya, dalamnya kelihatan nyaman."
https://www.youtube.com/watch?v=yIPZQfbVnbg,Keren sekali
https://www.youtube.com/watch?v=yIPZQfbVnbg,Busnya ngga terlalu besar keren bersih harga terjangkau. Terimakasih reviewnya ada CCTV nya mantap
https://www.youtube.com/watch?v=yIPZQfbVnbg,bus trans hatimu sidoarjo surabaya....
https://www.youtube.com/watch?v=yIPZQfbVnbg,Kalo mau ke sukomulyo manyar turun di halte apa ya? Yang terdekat?
https://www.youtube.com/watch?v=yIPZQfbVnbg,Liburan kurang bis nya harus ngadek sby gresik
https://www.youtube.com/watch?v=yIPZQfbVnbg,Buang waktu sangat lama pas nunggu bus lewat di halte..eh ternyata semua bus berhenti dan diam di terminal bunder gresik
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus trans Jatim sangat bagus dan mewah sekali
https://www.youtube.com/watch?v=yIPZQfbVnbg,Dari merr pondok tjandra ke Tunj Plaza sejak dulu tdk ada..sebab yg mau berangkat kerja daerah basuki rachmat banyak
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus trans jatim.. Mantap..
https://www.youtube.com/watch?v=yIPZQfbVnbg,Untuk ke Gresik enak nih bisa naik ini dr Bungurasih
https://www.youtube.com/watch?v=yIPZQfbVnbg,Kalau dari sidoarjo mau ke terminal bungurasih naiknya yang halte pondok jati atau pondok mutiara ya kak .mohon di bantu
https://www.youtube.com/watch?v=yIPZQfbVnbg,keren .salam.knal
https://www.youtube.com/watch?v=yIPZQfbVnbg,Gk lewat legundi rek
https://www.youtube.com/watch?v=yIPZQfbVnbg,temptny halte trans jatim d dalam bungurasih itu deket parkir mobil ta kak
https://www.youtube.com/watch?v=yIPZQfbVnbg,Dari terminal mojokerto ke mojoagung naik apa ?
https://www.youtube.com/watch?v=yIPZQfbVnbg,Busnya keren...kayaknya nyaman banget tuh...met jalan jalan mamim
https://www.youtube.com/watch?v=yIPZQfbVnbg,Busnya terlihat nyaman
https://www.youtube.com/watch?v=yIPZQfbVnbg,ga lewat sby timur ya kak
https://www.youtube.com/watch?v=yIPZQfbVnbg,Di halte bungurasih cara mengetahui bis nya ke gersik atau sidoarjo dr mn.... apa ada yg teriak brth bis yg datang tujuan mn
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bebas polusi bebas macet 
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bis nya bersih dan gede
https://www.youtube.com/watch?v=yIPZQfbVnbg,Armada kurang boss. Tambahi penumpange selalu penuh
https://www.youtube.com/watch?v=yIPZQfbVnbg,kalo mau ke kbs surabay turun di halte mana y kak?
https://www.youtube.com/watch?v=yIPZQfbVnbg,Naik dari halte mana kak
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus trans jati masuk bungur asih jam berapa ya mohon infonya
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Bus yang lewat dikota ku
Gresik"
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Dlu ada bis trans sidoarjo 
Sekarang masih ada g ya"
https://www.youtube.com/watch?v=yIPZQfbVnbg,Naik turunya harus di halte?
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus nya ngelewati daerah stasiun gubeng kah ? Mau naik bus ini ke alun2 gresik
https://www.youtube.com/watch?v=yIPZQfbVnbg,Mohon info KK sy klu terminal bunggur naik bus trans Jatim jurusan ngresik rmh sakit semen
https://www.youtube.com/watch?v=yIPZQfbVnbg,Info loker ingin gabung di bus trans ini
https://www.youtube.com/watch?v=yIPZQfbVnbg,Mck nya ndi bos 2
https://www.youtube.com/watch?v=yIPZQfbVnbg,Horok to bst kok jalure panjang...sampek masuk tolx juga....enak kii...wah kudune transjateng digae ngene yo  cocok..
https://www.youtube.com/watch?v=6OK_-1W7OO0,Makasih kak..reviewnya ...sangat membantu...rencana besok mau ajak anak² naik trans jatim ke Gresik.... Kira² kalo tanggal merah ramai gak ya
https://www.youtube.com/watch?v=6OK_-1W7OO0,Terimakasih teview nya
https://www.youtube.com/watch?v=6OK_-1W7OO0,Hadir nyimak kak
https://www.youtube.com/watch?v=6OK_-1W7OO0,"permisi kak mau tanya, durasi perjalanan gresik-sidoarjo berapa lama ya kak kalau naik transjatim? karena aku mau nyambung kereta kak jadi mau samain jadwal "
https://www.youtube.com/watch?v=6OK_-1W7OO0,"kak aku baru pertama kali naik bis, aku mau naik transjatim dari bungurasih ke gresik, tpi katanya skrg transjatim banyak rutenya. jadi cara bedain bis nya rute ke gresik atau ke rute lainnya itu gmn kak? apa di bis nya ada tulisannya?"
https://www.youtube.com/watch?v=6OK_-1W7OO0,"Jadickalau mau ke Surabaya naik yg koridor satu ya kak, yang dadi gresik ke sidoarjo gitu apa bisa kangsung ke bungurasih?"
https://www.youtube.com/watch?v=6OK_-1W7OO0,Kak itu haltenya lokasinya dimana ya klw dibungurasih
https://www.youtube.com/watch?v=6OK_-1W7OO0,Kak mau tanya tiket nya bisa beli offline gak
https://www.youtube.com/watch?v=6OK_-1W7OO0,Maaf ka mau tanya klo mau ke pelabuhan gresik turunnya dimna y ka??
https://www.youtube.com/watch?v=6OK_-1W7OO0,"Sayang seribu sayang kenapa kacanya skrg dikasih stiker, jadi gak bisa liat pemandangan luar dgn jelas, apalagi kalo jam² ramai nambah bosen + pusing didalem gak bisa liat luar"
https://www.youtube.com/watch?v=-rLCbCZoI3k,"Beli tiket cahs bisa gk? 
Belinya di dlm bis atau dmn?"
